Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
skewness_EEG F8,Control,COBRAD,Mann-Whitney U,6458.0,0.008383142629994738,0.4131257128081354,-0.033770512505143443,0.024864542113197274,0.1398983968340303,0.1467306179455508,-0.027177286473423597,-0.0051586353487075584,0.0733594251338433,0.060775774702967765,0.010025201495663811,True
kurtosis_EEG F8,Control,COBRAD,Mann-Whitney U,1462.0,4.5775091959684586e-27,1.5287686963880076,1.1729620936472958,3.371368119418473,1.0771831743923006,2.0649588458346786,0.8305448070615755,2.6527133463296773,0.35918235387609304,0.7846879498996739,2.0422733335859276e-26,True
mean_mpf_EEG F8,Control,COBRAD,Mann-Whitney U,7787.0,0.6372539241614033,0.13881051300351188,10.041917835590816,10.362331211887462,2.1539500632571302,2.6447146696303414,9.948847298482823,9.924516953476822,1.2045892182888291,1.1988690047552302,0.6484338175677437,False
median_mpf_EEG F8,Control,COBRAD,Mann-Whitney U,8427.0,0.5691725217447452,0.04360400130441409,10.002629044870476,10.106657506123344,2.1982444037542144,2.7877806378856613,9.915077170256978,9.604228836944305,1.0644650279019316,1.4113141318684308,0.5860119454650039,False
pswe_percentage_EEG F8,Control,COBRAD,Mann-Whitney U,1250.0,1.2032927331382114e-30,0.8735329474544568,2.190459341531401,8.966895141372518,8.468554583741389,5.679866035944198,0.0,7.985195089250485,0.0,3.263544139709478,9.3054638029355e-30,True
pswe_events_per_minute_EEG F8,Control,COBRAD,Mann-Whitney U,1481.0,1.019509988422254e-28,1.1076173315143267,0.1558300278528505,0.6131066841541122,0.43685445887976004,0.3479685354417262,0.0,0.5497451020292576,0.0,0.18777464648086345,5.8162209175564645e-28,True
pswe_avg_length_EEG F8,Control,COBRAD,T-test,-7.9974533748040395,3.478251953725173e-14,1.0510267733762024,2.652664012788796,5.662616094034783,3.274559212261751,1.4493507885947072,0.0,5.906285129161409,0.0,0.8321655632625866,7.037393487769536e-14,True
dfv_mean_EEG F8,Control,COBRAD,Mann-Whitney U,8968.0,0.14693053222283672,-0.006667773532989915,5.567787466014297,5.551381578932606,2.1143516740074575,3.144121164274421,5.480055020632737,4.808573885729582,1.1146435840915938,1.027877466249479,0.15879448824082976,False
dfv_std_EEG F8,Control,COBRAD,Mann-Whitney U,4726.0,4.83314227099755e-08,0.5548809696562561,4.597811964090045,5.5238458681760845,1.6847229279264462,1.6299331946817985,4.141268781466963,5.531260019475483,0.7036466314604164,0.903798359695569,7.508631742442623e-08,True
min_EEG T3,Control,COBRAD,Mann-Whitney U,14240.0,1.0421178049881028e-23,-1.1295875919703497,-4.949206765221484e-05,-0.00010624770704620441,2.33665292479481e-05,8.551053026872071e-05,-4.498350053374215e-05,-8.562044742280823e-05,1.1493801543513183e-05,2.1285716811361973e-05,3.2671801453681057e-23,True
max_EEG T3,Control,COBRAD,Mann-Whitney U,1689.0,2.376112562030735e-25,1.1387416626676066,4.798112968131938e-05,0.00010556959696281802,2.5060579845841034e-05,8.500843942240911e-05,4.297721697846772e-05,8.328440756453088e-05,1.09724060295543e-05,2.376874034476333e-05,8.891259909534364e-25,True
mean_EEG T3,Control,COBRAD,Mann-Whitney U,10443.0,0.00011669837538690742,-0.37381408420010825,1.1959486457071764e-08,-1.4799553876444446e-08,7.738361601947796e-08,5.5078339675457514e-08,4.35813258091558e-09,-3.970114582265731e-09,1.3332814790545747e-08,1.1660747545228027e-08,0.00015740711098699139,True
median_EEG T3,Control,COBRAD,Mann-Whitney U,11310.0,1.4008091957879222e-07,-0.6578471634086442,8.579554844620483e-08,-4.9567244276277605e-08,1.5174836410253468e-07,2.984469300546571e-07,7.224965726410727e-08,-7.46126552243452e-09,5.7763591716806633e-08,9.087573541194412e-08,2.119485217974769e-07,True
std_EEG T3,Control,COBRAD,Mann-Whitney U,3622.0,4.0002348332012524e-13,0.7532789600116082,6.862438813810057e-06,1.08192863375608e-05,2.621418805140826e-06,8.816490204408044e-06,6.224695641984668e-06,8.725907336158894e-06,1.3173645566140939e-06,2.1100469523796497e-06,7.648800670077121e-13,True
psd_mean_EEG T3,Control,COBRAD,Mann-Whitney U,2899.0,3.363796181147126e-17,0.3734605259372894,1.1038157157454819e-12,5.8597791046838e-12,1.1196797623618594e-12,2.3485518223963176e-11,7.514375595271896e-13,1.9661025687101628e-12,3.291381843512149e-13,9.63302680603636e-13,7.752324973769536e-17,True
psd_std_EEG T3,Control,COBRAD,Mann-Whitney U,2564.0,2.7363955368007563e-19,0.2944997397159489,2.4146702801311104e-12,1.8983919446875174e-11,3.002278131122686e-12,1.039387114787464e-10,1.5205459421790001e-12,4.4918137296303274e-12,7.206408226067688e-13,2.5748164130971263e-12,6.950844137274914e-19,True
fft_mean_EEG T3,Control,COBRAD,Mann-Whitney U,1448.0,3.5720386304731126e-27,1.4439959830352793,0.00252618494250077,0.005345267645207481,0.0009808300766026205,0.0032720256065299083,0.0022636229664717,0.004728011114880571,0.0004962969843500002,0.0011085850022135735,1.6574259245395243e-26,True
fft_std_EEG T3,Control,COBRAD,Mann-Whitney U,1211.0,4.9601088251393974e-29,0.9833567755206293,0.0033150414882322696,0.008207086891073748,0.0015722464990955292,0.00886871736926353,0.0029721311106332,0.006701446970194774,0.0007888622967488997,0.001750940118554035,3.0823533413366258e-28,True
