Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
mean_mpf_EEG F7,Control,WNV,Mann-Whitney U,1644.0,0.00224193812295653,-0.8246330814617127,9.91008050934036,7.515811814014385,2.8424149429380297,3.1286677056204124,9.32206729437225,7.0992426321027855,1.2115544728715184,2.728977642198852,0.0043635771271202705,True
median_mpf_EEG F7,Control,WNV,Mann-Whitney U,1686.0,0.0008680394529543362,-0.87531085186838,9.82829518030207,7.240459809231641,2.908661573228489,3.1348753122996063,9.333690466658922,6.587794574347782,1.289325903733575,2.7593117812086554,0.0020254253902267844,True
pswe_percentage_EEG F7,Control,WNV,Mann-Whitney U,453.0,1.1825761168869785e-06,1.5131933340076327,2.681285349758741,30.910619945250616,8.92126897471271,37.25885350126354,0.35300960498104883,9.555406401454425,0.35300960498104883,9.555406401454425,5.361907620885278e-06,True
pswe_events_per_minute_EEG F7,Control,WNV,Mann-Whitney U,457.0,1.3544078681401143e-06,1.5386812667560623,0.1862621654078489,1.1349479956901716,0.3577998507663422,1.1649544654371295,0.0378778223159719,0.8068436469501208,0.0378778223159719,0.7645901258233603,6.072008307729277e-06,True
pswe_avg_length_EEG F7,Control,WNV,Mann-Whitney U,432.0,5.650481249357207e-07,1.1142025194974028,3.506740737622268,14.18945613889862,3.9930134001106263,19.655844457642758,5.0,7.416666666666667,3.1271186440677967,1.666666666666667,2.8904384852481096e-06,True
dfv_mean_EEG F7,Control,WNV,Mann-Whitney U,1890.0,3.1485402084111364e-06,-0.8885703365430031,5.784634557189337,3.5268423196503536,2.7403664604975746,1.5410307051504324,5.301660874788167,3.330281690140845,1.2413163387000599,1.2060347819732922,1.3086120241208786e-05,True
dfv_std_EEG F7,Control,WNV,Mann-Whitney U,1580.0,0.008323268044425116,-0.4166837853551863,4.6133608280181,3.63356583770709,2.3534547569585302,2.3434764135038355,4.029266772287345,3.1443725144856276,0.7752314369894857,1.3336619494129445,0.013445279148686725,True
min_EEG F8,Control,WNV,Mann-Whitney U,1610.0,0.004591678529328441,-0.8220839166948414,-5.454159382777308e-05,-8.447728652869092e-05,3.0041239628034076e-05,5.4471981981860105e-05,-4.870138563719437e-05,-6.709398618552821e-05,1.2597623485364623e-05,2.4275299192306862e-05,0.007931081096112761,True
max_EEG F8,Control,WNV,Mann-Whitney U,782.0,0.010455545293023123,0.6563653301825608,5.7351741976642616e-05,8.637849726523972e-05,3.713128305173525e-05,6.474200120272684e-05,4.7435568377976495e-05,6.132671256460024e-05,1.1764779389202836e-05,1.932524006767045e-05,0.016620568015602494,True
mean_EEG F8,Control,WNV,Mann-Whitney U,990.0,0.22876537445019773,0.09384662107191447,-2.9475412337451494e-09,7.410977679312714e-10,3.112561106140392e-08,6.145877144181212e-08,2.732928641760023e-10,1.1166173507800258e-08,1.909875481140919e-08,2.0401138634308063e-08,0.28703580001770096,False
median_EEG F8,Control,WNV,Mann-Whitney U,972.0,0.18651325209213854,0.22091449494319923,3.1045219044955206e-08,6.450361985402041e-08,1.1246687175779336e-07,2.506198414154452e-07,6.13495366276333e-09,8.361585991623886e-08,5.216035427752141e-08,1.37241452109706e-07,0.2370025082317302,False
std_EEG F8,Control,WNV,Mann-Whitney U,726.0,0.0034369167516193257,1.0150495333302327,7.251774356058597e-06,1.096801152642847e-05,2.7020285799760332e-06,6.087115762583537e-06,6.864626553309653e-06,9.28622166230226e-06,1.3203997735603504e-06,3.175115223824242e-06,0.006290503595853721,True
psd_mean_EEG F8,Control,WNV,Mann-Whitney U,686.0,0.0014394444834666328,0.9425640144271412,1.1619431289339557e-12,2.6671769299717087e-12,1.1589947199552264e-12,2.6883826531621776e-12,8.542012604696887e-13,1.2756130824221652e-12,3.142347258860458e-13,5.581610874575417e-13,0.003038827242874003,True
psd_std_EEG F8,Control,WNV,Mann-Whitney U,613.0,0.0002494517578241221,1.0869944087572534,2.681061019857882e-12,6.8374265096842815e-12,2.9832053790837955e-12,6.0655635823548775e-12,1.9518298428592693e-12,3.5649548933781285e-12,7.81807547649027e-13,1.847573241257026e-12,0.0006911892456376717,True
